year,league,category,statistic,player,team,value
2020,AL,pitching,Complete,Games Gerrit,Cole New York Yankees,2
2020,AL,pitching,ERA,Shane Bieber,Cleveland Indians,1.63
2020,AL,pitching,Games,Scott Barlow,Kansas City Royals,32
2020,AL,pitching,Saves,Brad Hand,Cleveland Indians,16
2020,AL,pitching,Shutouts,Gerrit Cole,New York Yankees,1
2020,AL,pitching,Kyle,Gibson Texas,Rangers,1
2020,AL,pitching,Lucas,Giolito Chicago,White Sox,1
2020,AL,pitching,Brad,Keller Kansas,City Royals,1
2020,AL,pitching,Mike,Minor Oakland,Athletics,1
2020,AL,pitching,Strikeouts,Shane Bieber,Cleveland Indians,122
2020,AL,pitching,Winning,Percentage Shane,Bieber Cleveland Indians,.889
2020,AL,pitching,Wins,Shane Bieber,Cleveland Indians,8
2020,NL,hitting,Base on,Balls Bryce,Harper Philadelphia Phillies,49
2020,NL,hitting,Batting,Average Juan,Soto Washington Nationals,.351
2020,NL,hitting,Doubles,Freddie Freeman,Atlanta Braves,23
2020,NL,hitting,Hits,Trea Turner,Washington Nationals,78
2020,NL,hitting,Home,Runs Marcell,Ozuna Atlanta Braves,18
2020,NL,hitting,On,Base Percentage,Juan Soto Washington Nationals,.490
2020,NL,hitting,RBI,Marcell Ozuna,Atlanta Braves,56
2020,NL,hitting,Runs,Freddie Freeman,Atlanta Braves,51
2020,NL,hitting,Slugging,Average Juan,Soto Washington Nationals,.695
2020,NL,hitting,Stolen,Bases Trevor,Story Colorado Rockies,15
2020,NL,hitting,Total,Bases Marcell,Ozuna Atlanta Braves,145
2020,NL,hitting,Triples,Trevor Story,Colorado Rockies,4
2020,NL,hitting,Trea,Turner Washington,Nationals,4
2020,NL,hitting,Mike,Yastrzemski San,Francisco Giants,4
2020,NL,pitching,Complete,Games Trevor,Bauer Cincinnati Reds,2
2020,NL,pitching,Aaron,Nola Philadelphia,Phillies,2
2020,NL,pitching,Adam,Wainwright St.,Louis Cardinals,2
2020,NL,pitching,ERA,Trevor Bauer,Cincinnati Reds,1.73
2020,NL,pitching,Games,Tyler Rogers,San Francisco Giants,29
2020,NL,pitching,Saves,Josh Hader,Milwaukee Brewers,13
2020,NL,pitching,Shutouts,Trevor Bauer,Cincinnati Reds,2
2020,NL,pitching,Strikeouts Jacob deGrom,New York,Mets,104
2020,NL,pitching,Winning,Percentage Max,Fried Atlanta Braves,1.000
2020,NL,pitching,Wins,Yu Darvish,Chicago Cubs,8
2021,AL,hitting,Base on,Balls Joey,Gallo Texas Rangers,111
2021,AL,hitting,Batting,Average Yuli,Gurriel Houston Astros,.319
2021,AL,hitting,Doubles,Jeimer Candelario,Detroit Tigers,42
2021,AL,hitting,J.D.,Martinez Boston,Red Sox,42
2021,AL,hitting,Whit,Merrifield Kansas,City Royals,42
2021,AL,hitting,Hits,Bo Bichette,Toronto Blue Jays,191
2021,AL,hitting,Home,Runs Vladimir,Guerrero Jr. Toronto Blue Jays,48
2021,AL,hitting,Salvador,Perez Kansas,City Royals,48
2021,AL,hitting,On,Base Percentage,Vladimir Guerrero Jr. Toronto Blue Jays,.401
2021,AL,hitting,RBI,Salvador Perez,Kansas City Royals,121
2021,AL,hitting,Runs,Vladimir Guerrero,Jr. Toronto Blue Jays,123
2021,AL,hitting,Slugging,Average Vladimir,Guerrero Jr. Toronto Blue Jays,.601
2021,AL,hitting,Stolen,Bases Whit,Merrifield Kansas City Royals,40
2021,AL,hitting,Total,Bases Vladimir,Guerrero Jr. Toronto Blue Jays,363
2021,AL,hitting,Triples,Shohei Ohtani,Los Angeles Angels,8
2021,AL,pitching,Complete,Games Gerrit,Cole New York Yankees,2
2021,AL,pitching,Sean,Manaea Oakland,Athletics,2
2021,AL,pitching,ERA,Robbie Ray,Toronto Blue Jays,2.84
2021,AL,pitching,Games,Bryan Shaw,Cleveland Indians,81
2021,AL,pitching,Saves,Liam Hendriks,Chicago White Sox,38
2021,AL,pitching,Shutouts,Sean Manaea,Oakland Athletics,2
2021,AL,pitching,Strikeouts,Robbie Ray,Toronto Blue Jays,248
2021,AL,pitching,Winning,Percentage Lance,"McCullers, Jr. Houston Astros",.722
2021,AL,pitching,Wins,Gerrit Cole,New York Yankees,16
2021,NL,hitting,Base on,Balls Juan,Soto Washington Nationals,145
2021,NL,hitting,Batting,Average Trea,Turner Washington Nationals,.328
2021,NL,hitting,Doubles,Bryce Harper,Philadelphia Phillies,42
2021,NL,hitting,Hits,Trea Turner,Washington Nationals,195
